locationId,location,parameter,value,unit,country,city,isMobile,isAnalysis,entity,sensorType,date.utc,coordinates.latitude,coordinates.longitude,mydate,mymonth
4767,DEBE065,no2,53.24,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-01 01:00:00+00:00,52.514072,13.469931,2020-01-01,1970-01-01 00:00:00.000000001
4769,DEBE051,no2,19.73,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-01 01:00:00+00:00,52.643525,13.489531,2020-01-01,1970-01-01 00:00:00.000000001
2993,DEBE034,no2,55.19,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-01 01:00:00+00:00,52.489451,13.430844,2020-01-01,1970-01-01 00:00:00.000000001
4765,DEBE067,no2,47.88,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-01 01:00:00+00:00,52.5066,13.332972,2020-01-01,1970-01-01 00:00:00.000000001
4767,DEBE065,no2,45.01,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-02 00:00:00+00:00,52.514072,13.469931,2020-01-02,1970-01-01 00:00:00.000000001
4761,DEBE010,no2,39.49,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-02 00:00:00+00:00,52.543041,13.349326,2020-01-02,1970-01-01 00:00:00.000000001
4765,DEBE067,no2,33.55,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-02 00:00:00+00:00,52.5066,13.332972,2020-01-02,1970-01-01 00:00:00.000000001
2993,DEBE034,no2,39.25,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-02 00:00:00+00:00,52.489451,13.430844,2020-01-02,1970-01-01 00:00:00.000000001
3017,DEBE066,no2,26.99,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-02 00:00:00+00:00,52.485296,13.529504,2020-01-02,1970-01-01 00:00:00.000000001
4768,DEBE056,no2,20.28,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-02 00:00:00+00:00,52.447697,13.64705,2020-01-02,1970-01-01 00:00:00.000000001
3019,DEBE068,no2,40.93,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-02 00:00:00+00:00,52.513606,13.418833,2020-01-02,1970-01-01 00:00:00.000000001
4769,DEBE051,no2,29.37,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-02 00:00:00+00:00,52.643525,13.489531,2020-01-02,1970-01-01 00:00:00.000000001
4763,DEBE027,no2,19.18,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-02 00:00:00+00:00,52.398406,13.368103,2020-01-02,1970-01-01 00:00:00.000000001
4766,DEBE062,no2,16.48,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-02 00:00:00+00:00,52.653269,13.296081,2020-01-02,1970-01-01 00:00:00.000000001
4764,DEBE069,no2,38.3,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-02 00:00:00+00:00,52.438115,13.38772,2020-01-02,1970-01-01 00:00:00.000000001
4762,DEBE061,no2,33.88,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-02 00:00:00+00:00,52.463611,13.31825,2020-01-02,1970-01-01 00:00:00.000000001
3026,DEBE018,no2,33.11,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-02 00:00:00+00:00,52.485814,13.348775,2020-01-02,1970-01-01 00:00:00.000000001
3025,DEBE063,no2,48.74,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-02 00:00:00+00:00,52.467534,13.441654,2020-01-02,1970-01-01 00:00:00.000000001
4582,DEBE032,no2,30.1,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-02 00:00:00+00:00,52.473192,13.225144,2020-01-02,1970-01-01 00:00:00.000000001
3021,DEBE064,no2,44.99,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-02 00:00:00+00:00,52.481709,13.433967,2020-01-02,1970-01-01 00:00:00.000000001
4764,DEBE069,no2,37.53,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-02 01:00:00+00:00,52.438115,13.38772,2020-01-02,1970-01-01 00:00:00.000000001
3026,DEBE018,no2,34.7,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-02 01:00:00+00:00,52.485814,13.348775,2020-01-02,1970-01-01 00:00:00.000000001
4582,DEBE032,no2,26.35,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-02 01:00:00+00:00,52.473192,13.225144,2020-01-02,1970-01-01 00:00:00.000000001
3025,DEBE063,no2,46.17,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-02 01:00:00+00:00,52.467534,13.441654,2020-01-02,1970-01-01 00:00:00.000000001
4769,DEBE051,no2,24.62,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-02 01:00:00+00:00,52.643525,13.489531,2020-01-02,1970-01-01 00:00:00.000000001
4766,DEBE062,no2,18.01,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-02 01:00:00+00:00,52.653269,13.296081,2020-01-02,1970-01-01 00:00:00.000000001
4762,DEBE061,no2,31.93,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-02 01:00:00+00:00,52.463611,13.31825,2020-01-02,1970-01-01 00:00:00.000000001
3021,DEBE064,no2,41.02,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-02 01:00:00+00:00,52.481709,13.433967,2020-01-02,1970-01-01 00:00:00.000000001
3019,DEBE068,no2,40.85,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-02 01:00:00+00:00,52.513606,13.418833,2020-01-02,1970-01-01 00:00:00.000000001
2993,DEBE034,no2,39.13,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-02 01:00:00+00:00,52.489451,13.430844,2020-01-02,1970-01-01 00:00:00.000000001
4767,DEBE065,no2,41.24,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-02 01:00:00+00:00,52.514072,13.469931,2020-01-02,1970-01-01 00:00:00.000000001
4765,DEBE067,no2,28.35,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-02 01:00:00+00:00,52.5066,13.332972,2020-01-02,1970-01-01 00:00:00.000000001
4761,DEBE010,no2,39.0,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-02 01:00:00+00:00,52.543041,13.349326,2020-01-02,1970-01-01 00:00:00.000000001
3017,DEBE066,no2,25.51,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-02 01:00:00+00:00,52.485296,13.529504,2020-01-02,1970-01-01 00:00:00.000000001
4763,DEBE027,no2,17.14,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-02 01:00:00+00:00,52.398406,13.368103,2020-01-02,1970-01-01 00:00:00.000000001
2993,DEBE034,no2,28.15,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-03 00:00:00+00:00,52.489451,13.430844,2020-01-03,1970-01-01 00:00:00.000000001
4762,DEBE061,no2,25.37,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-03 00:00:00+00:00,52.463611,13.31825,2020-01-03,1970-01-01 00:00:00.000000001
3017,DEBE066,no2,30.69,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-03 00:00:00+00:00,52.485296,13.529504,2020-01-03,1970-01-01 00:00:00.000000001
3025,DEBE063,no2,30.42,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-03 00:00:00+00:00,52.467534,13.441654,2020-01-03,1970-01-01 00:00:00.000000001
4764,DEBE069,no2,23.18,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-03 00:00:00+00:00,52.438115,13.38772,2020-01-03,1970-01-01 00:00:00.000000001
3021,DEBE064,no2,32.65,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-03 00:00:00+00:00,52.481709,13.433967,2020-01-03,1970-01-01 00:00:00.000000001
3019,DEBE068,no2,30.86,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-03 00:00:00+00:00,52.513606,13.418833,2020-01-03,1970-01-01 00:00:00.000000001
4767,DEBE065,no2,31.1,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-03 00:00:00+00:00,52.514072,13.469931,2020-01-03,1970-01-01 00:00:00.000000001
4765,DEBE067,no2,25.21,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-03 00:00:00+00:00,52.5066,13.332972,2020-01-03,1970-01-01 00:00:00.000000001
4769,DEBE051,no2,33.4,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-03 00:00:00+00:00,52.643525,13.489531,2020-01-03,1970-01-01 00:00:00.000000001
4763,DEBE027,no2,12.36,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-03 00:00:00+00:00,52.398406,13.368103,2020-01-03,1970-01-01 00:00:00.000000001
4768,DEBE056,no2,11.88,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-03 00:00:00+00:00,52.447697,13.64705,2020-01-03,1970-01-01 00:00:00.000000001
4582,DEBE032,no2,19.77,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-03 00:00:00+00:00,52.473192,13.225144,2020-01-03,1970-01-01 00:00:00.000000001
4761,DEBE010,no2,30.44,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-03 00:00:00+00:00,52.543041,13.349326,2020-01-03,1970-01-01 00:00:00.000000001
4766,DEBE062,no2,21.05,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-03 00:00:00+00:00,52.653269,13.296081,2020-01-03,1970-01-01 00:00:00.000000001
3026,DEBE018,no2,24.51,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-03 00:00:00+00:00,52.485814,13.348775,2020-01-03,1970-01-01 00:00:00.000000001
3019,DEBE068,no2,23.41,b'\xc2\xb5g/m\xc2\xb3',DE,Berlin,False,False,government,reference grade,2020-01-03 01:00:00+00:00,52.513606,13.418833,2020-01-03,1970-01-01 00:00:00.000000001
